timestamp,src_ip,dst_ip,protocol,src_port,dst_port
2025-07-05 12:51:25,192.168.100.116,172.217.17.42,TCP,49254,443
2025-07-05 12:51:25,172.217.17.42,192.168.100.116,TCP,443,49254
2025-07-05 12:51:25,192.168.100.116,172.217.17.42,TCP,49254,443
2025-07-05 12:51:27,192.168.100.1,239.255.255.250,UDP,51361,1900
2025-07-05 12:51:28,192.168.100.1,239.255.255.250,UDP,51361,1900
2025-07-05 12:51:28,192.168.100.1,239.255.255.250,UDP,51361,1900
2025-07-05 12:51:28,192.168.100.6,224.0.0.251,UDP,5353,5353
2025-07-05 12:51:28,192.168.100.1,239.255.255.250,UDP,51361,1900
2025-07-05 12:51:29,192.168.100.116,172.217.17.35,TCP,44674,443
2025-07-05 12:51:29,172.217.17.35,192.168.100.116,TCP,443,44674
2025-07-05 12:51:29,172.217.17.35,192.168.100.116,TCP,443,44674
2025-07-05 12:51:29,192.168.100.116,172.217.17.35,TCP,44674,443
2025-07-05 12:51:29,172.217.17.35,192.168.100.116,TCP,443,44674
2025-07-05 12:51:29,192.168.100.116,172.217.17.35,TCP,44674,443
2025-07-05 12:51:29,172.217.17.35,192.168.100.116,TCP,443,44674
2025-07-05 12:51:29,192.168.100.116,172.217.17.35,TCP,44674,443
2025-07-05 12:51:29,172.217.17.35,192.168.100.116,TCP,443,44674
2025-07-05 12:51:29,192.168.100.116,172.217.17.35,TCP,44674,443
2025-07-05 12:51:29,192.168.100.116,172.217.17.35,TCP,44674,443
2025-07-05 12:51:29,172.217.17.35,192.168.100.116,TCP,443,44674
2025-07-05 12:51:32,192.168.100.116,192.168.100.1,UDP,55942,53
2025-07-05 12:51:32,192.168.100.116,192.168.100.1,UDP,39648,53
2025-07-05 12:51:32,192.168.100.1,192.168.100.116,UDP,53,55942
2025-07-05 12:51:32,192.168.100.1,192.168.100.116,UDP,53,39648
2025-07-05 12:51:32,192.168.100.116,34.149.100.209,TCP,35714,443
2025-07-05 12:51:32,34.149.100.209,192.168.100.116,TCP,443,35714
2025-07-05 12:51:32,192.168.100.116,34.149.100.209,TCP,35714,443
2025-07-05 12:51:32,192.168.100.116,34.149.100.209,TCP,35714,443
2025-07-05 12:51:32,34.149.100.209,192.168.100.116,TCP,443,35714
2025-07-05 12:51:32,34.149.100.209,192.168.100.116,TCP,443,35714
2025-07-05 12:51:32,34.149.100.209,192.168.100.116,TCP,443,35714
2025-07-05 12:51:32,192.168.100.116,34.149.100.209,TCP,35714,443
2025-07-05 12:51:32,34.149.100.209,192.168.100.116,TCP,443,35714
2025-07-05 12:51:32,192.168.100.116,34.149.100.209,TCP,35714,443
2025-07-05 12:51:32,192.168.100.116,192.168.100.1,UDP,49666,53
2025-07-05 12:51:32,192.168.100.116,192.168.100.1,UDP,57820,53
2025-07-05 12:51:32,192.168.100.116,192.168.100.1,UDP,50003,53
